title,year,tmdb_id,actor_name,character,cast_order,actor_tmdb_id,popularity,profile_path
Captain America,1944,106355.0,Dick Purcell,Captain America / Grant Gardner,0,13970,0.397,https://image.tmdb.org/t/p/w185/p0RZAW7uh1dIwuTbmPuMLLM0E8p.jpg
Captain America,1944,106355.0,Lorna Gray,Gail Richards,1,96719,0.4055,https://image.tmdb.org/t/p/w185/cdWxxF7weiJuccv7hv4Miw2zEH9.jpg
Captain America,1944,106355.0,Lionel Atwill,Cyrus Maldor,2,2495,0.4445,https://image.tmdb.org/t/p/w185/2KFwXY3fsMWWyeTFxeU9GNnAIMc.jpg
Captain America,1944,106355.0,Charles Trowbridge,Police Commissioner Dryden,3,96721,0.3023,https://image.tmdb.org/t/p/w185/l0pMZJiTfkxBOESbOAkAAedUzuJ.jpg
Captain America,1944,106355.0,Russell Hicks,Mayor Randolph,4,13969,0.8038,https://image.tmdb.org/t/p/w185/5Pir7aPr3Iooqd8eYhHLlJWicZa.jpg
Captain America,1944,106355.0,George J. Lewis,Bart Matson,5,120061,0.9185,https://image.tmdb.org/t/p/w185/cgo8gX8VDRoQV42rgQKJU4ceP3p.jpg
Captain America,1944,106355.0,John Davidson,Gruber,6,120738,0.2469,https://image.tmdb.org/t/p/w185/bfM1Hzm6nPoTY8cm4mafA8ycpkf.jpg
Captain America,1944,106355.0,Frank Reicher,Lyman,7,3245,0.5615,https://image.tmdb.org/t/p/w185/5q5kXKMDiBg7MrdcSdU5CZSQTgS.jpg
Captain America,1944,106355.0,Al Ferguson,Detective,8,1090894,0.2631,https://image.tmdb.org/t/p/w185/pqsu8OuPrGPMwuvvPsL1cVMzEMr.jpg
Captain America,1944,106355.0,Howard Hickman,Lyman’s Attorney,9,33025,0.2943,https://image.tmdb.org/t/p/w185/5dJMZuoWq1lYMNeXsf7iZjwHobv.jpg
Captain America,1944,106355.0,Tom London,Mack,10,932309,0.3377,https://image.tmdb.org/t/p/w185/nfLW8J3AMasTu1Ahm0HftRgx9qy.jpg
Captain America,1944,106355.0,Edward Van Sloan,Gregory,11,1550,0.3321,https://image.tmdb.org/t/p/w185/qZ9zAlgNlJ1vefUXb4KDVbC3kVh.jpg
Captain America,1944,106355.0,James Carlisle,J.V. Wilson (uncredited),12,1471395,0.1796,N/A
The Amazing Spider-Man,1977,225914.0,Nicholas Hammond,Peter Parker / Spider-Man,0,29095,1.136,https://image.tmdb.org/t/p/w185/H1OuDU9pbRxgdrfXtXPZvQX8KU.jpg
The Amazing Spider-Man,1977,225914.0,David White,J. Jonah Jameson,1,141694,0.7893,https://image.tmdb.org/t/p/w185/h6jZkxOg7Z6I8SxkicURKqIHEn9.jpg
The Amazing Spider-Man,1977,225914.0,Michael Pataki,Captain Barbera,2,15993,0.5399,https://image.tmdb.org/t/p/w185/sBhGgVS3o8oWiD85lmh4W3n15OK.jpg
The Amazing Spider-Man,1977,225914.0,Hilly Hicks,Robbie Robertson,3,1213887,0.2947,https://image.tmdb.org/t/p/w185/l0RMfsW6bJfN9Tr5ruscO3e4TFt.jpg
The Amazing Spider-Man,1977,225914.0,Lisa Eilbacher,Judy Tyler,4,779,0.9537,https://image.tmdb.org/t/p/w185/tYbOrII1dXzNauGSbMlAZRyRUWT.jpg
The Amazing Spider-Man,1977,225914.0,Dick Balduzzi,Delivery Man,5,78085,0.5707,https://image.tmdb.org/t/p/w185/8V5N9DDSUKetrPDjKxQagS6NCZ0.jpg
The Amazing Spider-Man,1977,225914.0,Jeff Donnell,Aunt May Parker,6,14576,0.5725,https://image.tmdb.org/t/p/w185/x7qNasj4LB4h6RCknz0PiTBZI9r.jpg
The Amazing Spider-Man,1977,225914.0,Bob Hastings,Monahan,7,34973,0.7607,https://image.tmdb.org/t/p/w185/j8Bcul6PCSDOwY4tl2wLkcelgYf.jpg
The Amazing Spider-Man,1977,225914.0,Barry Cutler,Purse Snatcher,8,95141,0.486,https://image.tmdb.org/t/p/w185/knrs3PrhnvNZi9NYTQPfbvkxsDq.jpg
The Amazing Spider-Man,1977,225914.0,Thayer David,Edward Byron,9,16524,0.9603,https://image.tmdb.org/t/p/w185/gAkmthly4dMu2Az8SNVWNSeRsYy.jpg
The Amazing Spider-Man,1977,225914.0,Ivor Francis,Prof. Noah Tyler,10,84327,0.4057,https://image.tmdb.org/t/p/w185/yFSyIq7SdLqcCCCHuQDMUTFxrj.jpg
The Amazing Spider-Man,1977,225914.0,Norman Rice,Henchman,11,165927,0.0633,N/A
The Amazing Spider-Man,1977,225914.0,Len Lesser,Henchman,12,78087,0.7031,https://image.tmdb.org/t/p/w185/5qOuWP5I8JKVxD4WGyUfr4UaPHq.jpg
The Amazing Spider-Man,1977,225914.0,Carmelita Pope,Group Member,13,2514456,0.0143,N/A
The Amazing Spider-Man,1977,225914.0,George Lane Cooper,Group Member,14,1806344,0.3578,N/A
Spider-Man,1977,225914.0,Nicholas Hammond,Peter Parker / Spider-Man,0,29095,1.136,https://image.tmdb.org/t/p/w185/H1OuDU9pbRxgdrfXtXPZvQX8KU.jpg
Spider-Man,1977,225914.0,David White,J. Jonah Jameson,1,141694,0.7893,https://image.tmdb.org/t/p/w185/h6jZkxOg7Z6I8SxkicURKqIHEn9.jpg
