id,title,year,universe,mcu_phase,document
1,Captain America,1944,Pre-MCU,Pre-MCU,"Title: Captain America
Year: 1944
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: Approved
Runtime: 244 minutes
Genre: Action, Adventure, Sci-Fi
Director: Elmer Clifton, John English
Writer: Royal K. Cole, Ronald Davidson, Basil Dickey
Cast: Dick Purcell, Lorna Gray, Lionel Atwill
Top 5 Cast: Dick Purcell, Lorna Gray, Lionel Atwill, Charles Trowbridge, Russell Hicks
Plot: Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.
Tagline: 
Keywords: superhero, based on comic, masked vigilante, movie serial
IMDb Rating: 5.3
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.4
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: N/A
Country: United States
Language: English"
2,The Amazing Spider-Man,1977,Sony / Spider-Man,Pre-MCU,"Title: The Amazing Spider-Man
Year: 1977
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: series
Rated: TV-PG
Runtime: 60 minutes
Genre: Action, Adventure, Crime
Director: N/A
Writer: N/A
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher
Plot: With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.
Tagline: The world's favorite adventure super hero in live-action.
Keywords: mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot
IMDb Rating: 6.2
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.3
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English"
3,Spider-Man,1977,Sony / Spider-Man,Pre-MCU,"Title: Spider-Man
Year: 1977
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: series
Rated: TV-PG
Runtime: 60 minutes
Genre: Action, Adventure, Crime
Director: N/A
Writer: N/A
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, David White, Michael Pataki, Hilly Hicks, Lisa Eilbacher
Plot: With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero.
Tagline: The world's favorite adventure super hero in live-action.
Keywords: mind control, new york city, photographer, secret identity, superhero, cult, based on comic, alter ego, crime spree, tv pilot
IMDb Rating: 6.2
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.3
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English"
4,Dr. Strange,1978,Pre-MCU,Pre-MCU,"Title: Dr. Strange
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 93 minutes
Genre: Action, Fantasy
Director: Philip DeGuere Jr.
Writer: Philip DeGuere Jr., Steve Ditko, Stan Lee
Cast: Peter Hooten, Clyde Kusatsu, Jessica Walter
Top 5 Cast: Peter Hooten, Clyde Kusatsu, Jessica Walter, Anne-Marie Martin, Philip Sterling
Plot: A psychiatrist becomes the new Sorcerer Supreme of the Earth in order to battle an evil Sorceress from the past.
Tagline: Battle of the sorcerers burns the screen with electric flame
Keywords: based on comic
IMDb Rating: 5.1
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 6.038
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: N/A
Country: United States
Language: English"
5,The Incredible Hulk,1978,Pre-MCU,Pre-MCU,"Title: The Incredible Hulk
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: N/A
Rated: nan
Runtime: nan minutes
Genre: nan
Director: nan
Writer: nan
Cast: nan
Top 5 Cast: Bill Bixby, Jack Colvin, Lou Ferrigno, Mariette Hartley, Brian Cutler
Plot: nan
Tagline: She loved the man... would the beast destroy them?
Keywords: based on comic
IMDb Rating: nan
Rotten Tomatoes: nan
Metacritic: nan
TMDB Rating: 6.727
Box Office: nan
Budget: 0
Revenue: 0
Awards: nan
Collection: The Incredible Hulk Collection
Country: nan
Language: nan"
6,Spider-Man Strikes Back,1978,Pre-MCU,Pre-MCU,"Title: Spider-Man Strikes Back
Year: 1978
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: Unrated
Runtime: 90 minutes
Genre: Action, Family, Fantasy
Director: Ron Satlof
Writer: Robert Janes, Stan Lee
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda
Plot: Spider-Man swings to the rescue when a nuclear bomb created by three college students falls into criminal hands.
Tagline: His greatest challenge...
Keywords: new york city, based on comic, sequel
IMDb Rating: 5.0
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: United States
Language: English"
7,Spider-Man,1978,Sony / Spider-Man,Pre-MCU,"Title: Spider-Man
Year: 1978
Universe: Sony / Spider-Man
MCU Phase: Pre-MCU
Type: movie
Rated: N/A
Runtime: 24 minutes
Genre: Short, Action, Sci-Fi
Director: Kôichi Takemoto
Writer: Stan Lee, Susumu Takaku, Saburo Yatsude
Cast: Shinji Tôdô, Izumi Oyama, Rika Miura
Top 5 Cast: Nicholas Hammond, Robert F. Simon, Michael Pataki, JoAnna Cameron, Robert Alda
Plot: Spider-Man teams up with an agent from Interpol to battle against the evil forces of the Iron Cross Army.
Tagline: His greatest challenge...
Keywords: new york city, based on comic, sequel
IMDb Rating: 6.4
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 5.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Spider-Man (TV) Collection
Country: Japan
Language: Japanese"
8,Spider-Man: The Dragon's Challenge,1979,Pre-MCU,Pre-MCU,"Title: Spider-Man: The Dragon's Challenge
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 92 minutes
Genre: Action, Adventure, Crime
Director: Don McDougall
Writer: Lionel E. Siegel
Cast: Nicholas Hammond, Robert F. Simon, Chip Fields
Top 5 Cast: nan
Plot: The amazing Spider-Man goes to China to help a World War II official accused of treachery.
Tagline: nan
Keywords: nan
IMDb Rating: 4.7
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: nan
Box Office: N/A
Budget: nan
Revenue: nan
Awards: N/A
Collection: nan
Country: United States
Language: Cantonese, English"
9,Captain America,1979,Pre-MCU,Pre-MCU,"Title: Captain America
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 97 minutes
Genre: Action, Adventure, Sci-Fi
Director: Rod Holcomb
Writer: Don Ingalls, Chester Krumholz, Jack Kirby
Cast: Reb Brown, Len Birman, Heather Menzies-Urich
Top 5 Cast: Reb Brown, Len Birman, Heather Menzies, Robin Mattson, Joseph Ruskin
Plot: A recipient of an experimental body enhancement chemical retaliates against his would be killers as a star spangled superhero.
Tagline: Sentinel of Liberty
Keywords: superhero, based on comic, super soldier
IMDb Rating: 3.5
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 3.983
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Captain America (Reb Brown) Collection
Country: United States
Language: English"
10,Captain America II: Death Too Soon,1979,Pre-MCU,Pre-MCU,"Title: Captain America II: Death Too Soon
Year: 1979
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 83 minutes
Genre: Action, Adventure, Sci-Fi
Director: Ivan Nagy
Writer: Wilton Schiller, Patricia Payne, Jack Kirby
Cast: Reb Brown, Connie Sellecca, Len Birman
Top 5 Cast: Reb Brown, Connie Sellecca, Len Birman, Christopher Lee, Katherine Justice
Plot: The star spangled hero must battle a villain's plan to poison America with a chemical that horrifically accelerates the aging process.
Tagline: Sentinel of Liberty Returns
Keywords: superhero, based on comic
IMDb Rating: 3.7
Rotten Tomatoes: None
Metacritic: None
TMDB Rating: 3.8
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: Captain America (Reb Brown) Collection
Country: United States
Language: English"
11,The Incredible Hulk Returns,1988,Pre-MCU,Pre-MCU,"Title: The Incredible Hulk Returns
Year: 1988
Universe: Pre-MCU
MCU Phase: Pre-MCU
Type: movie
Rated: TV-PG
Runtime: 100 minutes
Genre: Action, Adventure, Drama
Director: Nicholas Corea, Bill Bixby
Writer: Stan Lee, Nicholas Corea
Cast: Bill Bixby, Lou Ferrigno, Jack Colvin
Top 5 Cast: Bill Bixby, Lou Ferrigno, Jack Colvin, Lee Purcell, Charles Napier
Plot: Hopefully on the verge of curing his Hulk condition, Banner meets his colleague, Don Blake, who is mystically linked to a Viking warrior, Thor.
Tagline: His pent-up anger has been seething for 6 long years. Tonight, the incredible explosion!
Keywords: superhero, transformation, based on comic, tragic hero, scientist, rage, anger, metamorphosis, strength, lonely
IMDb Rating: 5.7
Rotten Tomatoes: 50%
Metacritic: None
TMDB Rating: 6.287
Box Office: N/A
Budget: 0
Revenue: 0
Awards: N/A
Collection: The Incredible Hulk Collection
Country: United States
Language: English"
