title,year,source,score
Captain America,1944,IMDb,5.3
Captain America,1944,TMDB,5.4
The Amazing Spider-Man,1977,IMDb,6.2
The Amazing Spider-Man,1977,TMDB,6.3
Spider-Man,1977,IMDb,6.2
Spider-Man,1977,TMDB,6.3
Dr. Strange,1978,IMDb,5.1
Dr. Strange,1978,TMDB,6.038
The Incredible Hulk,1978,IMDb,
The Incredible Hulk,1978,Rotten Tomatoes,
The Incredible Hulk,1978,Metacritic,
The Incredible Hulk,1978,TMDB,6.727
Spider-Man Strikes Back,1978,IMDb,5.0
Spider-Man Strikes Back,1978,TMDB,5.8
Spider-Man,1978,IMDb,6.4
Spider-Man,1978,TMDB,5.8
Spider-Man: The Dragon's Challenge,1979,IMDb,4.7
Spider-Man: The Dragon's Challenge,1979,TMDB,
Captain America,1979,IMDb,3.5
Captain America,1979,TMDB,3.983
Captain America II: Death Too Soon,1979,IMDb,3.7
Captain America II: Death Too Soon,1979,TMDB,3.8
The Incredible Hulk Returns,1988,IMDb,5.7
The Incredible Hulk Returns,1988,Rotten Tomatoes,50%
The Incredible Hulk Returns,1988,TMDB,6.287
The Trial of the Incredible Hulk,1989,IMDb,5.8
The Trial of the Incredible Hulk,1989,TMDB,6.4
The Punisher,1989,IMDb,5.6
The Punisher,1989,Rotten Tomatoes,24%
The Punisher,1989,Metacritic,63/100
The Punisher,1989,TMDB,5.8
Captain America,1990,IMDb,3.2
Captain America,1990,Rotten Tomatoes,16%
Captain America,1990,TMDB,4.5
The Death of the Incredible Hulk,1990,IMDb,5.7
The Death of the Incredible Hulk,1990,Rotten Tomatoes,20%
The Death of the Incredible Hulk,1990,TMDB,5.7
Fantastic Four,1994,IMDb,3.8
Fantastic Four,1994,Rotten Tomatoes,31%
Fantastic Four,1994,TMDB,4.41
Generation X,1996,IMDb,4.4
Generation X,1996,TMDB,4.319
Nick Fury: Agent of S.H.I.E.L.D.,1998,IMDb,
Nick Fury: Agent of S.H.I.E.L.D.,1998,Rotten Tomatoes,
Nick Fury: Agent of S.H.I.E.L.D.,1998,Metacritic,
Nick Fury: Agent of S.H.I.E.L.D.,1998,TMDB,4.6
Blade,1998,IMDb,7.1
Blade,1998,Rotten Tomatoes,59%
Blade,1998,Metacritic,47/100
